word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
arbiter,n.,"one who can resolve a dispute, make a decision",The divorce court judge will serve as the arbiter between the estranged husband and wife.,The divorce court judge will serve as the _______ between the estranged husband and wife.,,,,,,,
arbitrary,adj.,based on factors that appear random,The boy’s decision to choose one college over another seems arbitrary.,The boy’s decision to choose one college over another seems _________.,,,,,,,
arbitration,n.,the process or act of resolving a dispute,The employee sought official arbitration when he could not resolve a disagreement with his supervisor.,The employee sought official ___________ when he could not resolve a disagreement with his supervisor.,,,,,,,
arboreal,adj.,of or relating to trees  A SAT Vocabulary,"Leaves, roots, and bark are a few arboreal traits.","Leaves, roots, and bark are a few ________ traits.",,,,,,,
arcane,adj.,"obscure, secret, known only by a few",The professor is an expert in arcane Lithuanian literature.,The professor is an expert in ______ Lithuanian literature.,,,,,,,
archaic,adj.,"of or relating to an earlier period in time, outdated","In a few select regions of Western Mongolian, an archaic Chinese dialect is still spoken.","In a few select regions of Western Mongolian, an _______ Chinese dialect is still spoken.",,,,,,,
archetypal,adj.,the most representative or typical example of something,"Some believe George Washington, with his flowing white hair and commanding stature, was the archetypal politician.","Some believe George Washington, with his flowing white hair and commanding stature, was the __________ politician.",,,,,,,
ardor,n.,"extreme vigor, energy, enthusiasm",The soldiers conveyed their ardor with impassioned battle cries.,The soldiers conveyed their _____ with impassioned battle cries.,,,,,,,
arid,adj.,excessively dry,Little other than palm trees and cacti grow successfully in arid environments.,Little other than palm trees and cacti grow successfully in ____ environments.,,,,,,,
arrogate,v.,to take without justification,The king arrogated the right to order executions to himself exclusively.,The king ________d the right to order executions to himself exclusively.,,,,,,,
artifact,n.,a remaining piece from an extinct culture or place,The scientists spent all day searching the cave for artifacts from the ancient Mayan civilization.,The scientists spent all day searching the cave for ________s from the ancient Mayan civilization.,,,,,,,
artisan,n.,a craftsman,The artisan uses wood to make walking sticks.,The _______ uses wood to make walking sticks.,,,,,,,
ascertain,v.,"to perceive, learn","With a bit of research, the student ascertained that some plants can live for weeks without water.","With a bit of research, the student _________ed that some plants can live for weeks without water.",,,,,,,
ascetic,adj.,"practicing restraint as a means of self-discipline, usually religious","The priest lives an ascetic life devoid of television, savory foods, and other pleasures.","The priest lives an _______ life devoid of television, savory foods, and other pleasures.",,,,,,,
ascribe,v.,"to assign, credit, attribute to",Some ascribe the invention of fireworks and dynamite to the Chinese.,Some _______ the invention of fireworks and dynamite to the Chinese.,,,,,,,
aspersion,n.,"a curse, expression of ill-will",The rival politicians repeatedly cast aspersions on each others’ integrity.,The rival politicians repeatedly cast _________s on each others’ integrity.,,,,,,,
aspire,v.,"to long for, aim toward",The young poet aspires to publish a book of verse someday.,The young poet ______s to publish a book of verse someday.,,,,,,,
assail,v.,to attack,"At dawn, the war planes assailed the boats in the harbor.","At dawn, the war planes ______ed the boats in the harbor.",,,,,,,
assess,v.,to evaluate,A crew arrived to assess the damage after the crash.,A crew arrived to ______ the damage after the crash.,,,,,,,
assiduous,adj.,"hard-working, diligent",The construction workers erected the skyscraper during two years of assiduous labor.,The construction workers erected the skyscraper during two years of _________ labor.,,,,,,,
assuage,v.,"to ease, pacify  SAT Vocabulary A",The mother held the baby to assuage its fears.,The mother held the baby to _______ its fears.,,,,,,,
astute,adj.,"very clever, crafty  asylum 1.  a place of refuge, protection, a sanctuary  2.  an institution in which the insane are kept",Much of Roger’s success in politics results from his ability to provide astute answers to reporters’ questions.,Much of Roger’s success in politics results from his ability to provide ______ answers to reporters’ questions.,,,,,,,
atone,v.,"to repent, make amends",The man atoned for forgetting his wife’s birthday by buying her five dozen roses.,The man _____d for forgetting his wife’s birthday by buying her five dozen roses.,,,,,,,
atrophy,v.,"to wither away, decay","If muscles do not receive enough blood, they will soon atrophy and die.","If muscles do not receive enough blood, they will soon _______ and die.",,,,,,,
attain,v.,"to achieve, arrive at  attribute 1.  to credit, assign  2.  a facet or trait",The athletes strived to attain their best times in competition.,The athletes strived to ______ their best times in competition.,,,,,,,
atypical,adj.,"not typical, unusual",Screaming and crying is atypical adult behavior.,Screaming and crying is ________ adult behavior.,,,,,,,
audacious,adj.,excessively bold,The security guard was shocked by the fan’s audacious attempt to offer him a bribe.,The security guard was shocked by the fan’s _________ attempt to offer him a bribe.,,,,,,,
audible,adj.,able to be heard,The missing person’s shouts were unfortunately not audible.,The missing person’s shouts were unfortunately not _______.,,,,,,,
augment,v.,"to add to, expand",The eager student seeks to augment his knowledge of French vocabulary by reading French literature.,The eager student seeks to _______ his knowledge of French vocabulary by reading French literature.,,,,,,,
auspicious,adj.,"favorable, indicative of good things",The tennis player considered the sunny forecast an auspicious sign that she would win her match.,The tennis player considered the sunny forecast an __________ sign that she would win her match.,,,,,,,
austere,adj.,"very bare, bleak",The austere furniture inside the abandoned house made the place feel haunted.,The _______ furniture inside the abandoned house made the place feel haunted.,,,,,,,
avarice,n.,excessive greed,The banker’s avarice led him to amass a tremendous personal fortune.,The banker’s _______ led him to amass a tremendous personal fortune.,,,,,,,
avenge,v.,to seek revenge,The victims will take justice into their own hands and strive to avenge themselves against the men who robbed them.,The victims will take justice into their own hands and strive to ______ themselves against the men who robbed them.,,,,,,,
aversion,n.,a particular dislike for something  B SAT Vocabulary B,"Because he’s from Hawaii, Ben has an aversion to autumn, winter, and cold climates in general.","Because he’s from Hawaii, Ben has an ________ to autumn, winter, and cold climates in general.",,,,,,,
balk,v.,"to stop, block abruptly",Edna’s boss balked at her request for another raise.,Edna’s boss ____ed at her request for another raise.,,,,,,,
ballad,n.,a love song,Greta’s boyfriend played her a ballad on the guitar during their walk through the dark woods.,Greta’s boyfriend played her a ______ on the guitar during their walk through the dark woods.,/ˈbæləd/,/ˈbæləd/,https://api.dictionaryapi.dev/media/pronunciations/en/ballad-us.mp3,noun; verb,"A kind of narrative poem, adapted for recitation or singing; especially, a sentimental or romantic poem in short stanzas.; A slow romantic song.; To make mention of in ballads.; To compose or sing ballads.",,
banal,adj.,"dull, commonplace",The client rejected our proposal because they found our presentation banal and unimpressive.,The client rejected our proposal because they found our presentation _____ and unimpressive.,,,,,,,
bane,n.,a burden,Advanced physics is the bane of many students’ academic lives.,Advanced physics is the ____ of many students’ academic lives.,,,,,,,
bard,n.,"a poet, often a singer as well",Shakespeare is often considered the greatest bard in the history of the English language.,Shakespeare is often considered the greatest ____ in the history of the English language.,/bɑːd/,/bɑːd/; [bɑɹd],https://api.dictionaryapi.dev/media/pronunciations/en/bard-us.mp3,noun; verb,"A piece of defensive (or, sometimes, ornamental) armor for a horse's neck, breast, and flanks; a barb. (Often in the plural.); Defensive armor formerly worn by a man at arms.; A thin slice of fat bacon used to cover any meat or game.; The exterior covering of the trunk and branches of a tree; the rind.; Specifically, Peruvian bark.; To cover a horse in defensive armor.; To cover (meat or game) with a thin slice of fat bacon.",,
